study_hours,attendance,internal_marks,final_score
3.31,41.89,29.26,34.23
7.63,78.18,12.52,44.91
5.99,58.86,14.85,50.04
4.99,70.51,36.96,53.43
1.67,94.45,28.19,35.07
1.67,54.96,10.28,26.22
0.94,64.62,13.04,24.29
7.0,85.33,29.91,60.81
5.01,53.73,10.15,29.25
5.81,44.62,14.82,34.01
0.65,57.39,26.46,33.28
7.77,49.67,30.76,52.51
6.74,95.78,29.56,52.89
2.09,88.49,16.73,37.63
1.86,78.0,31.37,39.8
1.88,92.29,,36.81
2.78,88.22,19.76,51.14
4.44,51.19,32.39,43.05
3.74,93.55,29.49,44.38
2.68,72.36,35.48,48.97
5.09,88.45,29.73,63.24
1.55,93.77,27.05,49.33
2.69,59.08,12.81,22.62
3.25,46.6,21.03,29.14
3.92,53.68,17.96,40.32
,65.63,17.32,39.92
2.0,89.08,39.19,51.57
4.36,91.64,21.79,52.07
4.94,40.42,36.76,36.39
0.85,70.64,28.93,36.04
5.06,65.04,33.84,31.18
1.78,53.33,25.08,26.61
0.99,47.19,27.31,27.65
7.62,60.26,24.78,42.03
7.74,96.57,15.86,63.63
6.56,59.39,31.67,41.33
2.78,71.13,18.42,34.39
1.23,82.18,10.73,33.22
5.63,61.82,29.36,53.04
3.8,98.31,15.31,38.71
1.42,97.75,38.21,55.87
4.21,55.11,38.62,44.5
0.76,69.83,37.45,34.79
7.32,58.05,21.1,47.52
2.44,57.09,10.46,28.93
5.47,42.21,37.85,40.37
2.84,76.57,22.85,40.7
4.4,70.16,39.0,47.67
4.6,43.09,38.91,42.5
1.89,56.72,35.59,41.06
7.77,94.5,18.83,64.18
6.31,54.37,21.55,35.61
7.55,48.69,35.53,60.13
7.21,69.37,19.51,37.86
4.98,99.14,15.08,48.23
7.41,54.52,26.7,49.85
1.16,80.33,38.08,45.55
1.97,85.7,30.88,41.42
0.84,54.26,27.1,29.53
2.94,83.69,12.92,35.8
3.42,62.07,28.45,37.01
2.54,77.94,39.7,51.83
6.72,78.01,14.2,48.37
3.18,72.15,25.55,37.62
2.61,45.42,36.32,40.99
4.57,90.12,32.22,54.5
1.56,59.25,30.91,39.64
6.52,51.19,31.07,48.78
1.06,42.45,20.78,20.59
7.9,75.45,18.81,48.05
6.29,80.65,34.28,59.09
1.99,41.0,34.3,35.76
0.54,70.73,36.01,38.67
,53.59,37.4,50.03
5.8,78.71,25.34,55.91
5.97,50.46,25.05,38.37
6.28,81.46,,58.16
1.06,63.2,29.5,33.86
3.19,96.2,31.06,49.72
1.37,48.25,33.87,38.64
6.97,60.46,36.7,56.21
5.17,46.81,20.14,40.11
2.98,95.48,,52.2
0.98,92.64,12.82,36.11
2.83,55.48,27.35,39.44
2.94,79.6,11.08,34.66
5.97,89.03,23.97,54.05
5.28,73.31,26.28,46.37
7.15,71.78,18.6,48.27
4.04,54.51,27.72,41.91
1.4,45.59,10.92,17.99
5.85,93.83,11.12,58.24
6.21,94.03,,54.3
4.71,77.99,20.81,38.46
6.28,60.34,13.81,45.81
4.2,60.95,25.67,44.3
4.42,,33.1,54.13
3.71,93.83,16.47,47.97
0.69,93.23,28.69,42.54
1.31,86.79,12.56,30.48
